language_name,year,quarter,count,lag_count,qoq_change
AGS Script,2013,4,41001,41275.0,-0.006638400969109615
AGS Script,2014,1,37095,41001.0,-0.09526596912270435
AGS Script,2014,2,40214,37095.0,0.08408141258929769
AGS Script,2014,3,44133,40214.0,0.09745362311632766
AGS Script,2014,4,24867,44133.0,-0.4365440826592346
AGS Script,2015,1,26377,24867.0,0.060723046607954245
AGS Script,2015,2,14440,26377.0,-0.45255336088258713
AGS Script,2015,3,22521,14440.0,0.5596260387811633
AGS Script,2015,4,15784,22521.0,-0.2991430220682918
AGS Script,2016,1,13432,15784.0,-0.14901165737455646
AGS Script,2016,2,12951,13432.0,-0.035810005955926094
AGS Script,2016,3,10165,12951.0,-0.21511852366612616
AGS Script,2016,4,9452,10165.0,-0.07014264633546485
AGS Script,2017,1,6671,9452.0,-0.29422344477359286
AGS Script,2017,2,6267,6671.0,-0.06056063558686853
AGS Script,2017,3,7669,6267.0,0.22371150470719647
AGS Script,2017,4,5389,7669.0,-0.29730082148911197
AGS Script,2018,1,5032,5389.0,-0.06624605678233442
AGS Script,2018,2,5195,5032.0,0.03239268680445151
AGS Script,2018,3,5181,5195.0,-0.002694898941289714
AGS Script,2018,4,3727,5181.0,-0.28064080293379656
AGS Script,2019,1,3432,3727.0,-0.07915213308290847
AGS Script,2019,2,4839,3432.0,0.409965034965035
AGS Script,2019,3,4533,4839.0,-0.06323620582765033
AGS Script,2019,4,3388,4533.0,-0.2525921023604677
AGS Script,2020,1,3402,3388.0,0.004132231404958775
AGS Script,2020,2,3836,3402.0,0.12757201646090532
AGS Script,2020,3,2830,3836.0,-0.262252346193952
AGS Script,2020,4,1845,2830.0,-0.34805653710247353
AGS Script,2021,1,1396,1845.0,-0.243360433604336
AGS Script,2021,2,1514,1396.0,0.08452722063037243
AGS Script,2021,3,1347,1514.0,-0.11030383091149276
AGS Script,2021,4,1249,1347.0,-0.07275426874536006
AIDL,2011,2,690,954.0,-0.2767295597484277
AIDL,2011,3,3829,690.0,4.54927536231884
AIDL,2011,4,3553,3829.0,-0.07208148341603549
AIDL,2012,1,3085,3553.0,-0.1317196735153392
AIDL,2012,2,4188,3085.0,0.3575364667747163
AIDL,2012,3,2552,4188.0,-0.390639923591213
AIDL,2012,4,3749,2552.0,0.46904388714733547
AIDL,2013,1,4501,3749.0,0.2005868231528407
AIDL,2013,2,4392,4501.0,-0.0242168407020662
AIDL,2013,3,4463,4392.0,0.016165755919854252
AIDL,2013,4,4061,4463.0,-0.09007394129509294
AIDL,2014,1,6380,4061.0,0.5710416153656734
AIDL,2014,2,6354,6380.0,-0.004075235109717856
AIDL,2014,3,10176,6354.0,0.6015108593012275
AIDL,2014,4,8026,10176.0,-0.21128144654088055
AIDL,2015,1,12447,8026.0,0.550834786942437
AIDL,2015,2,9596,12447.0,-0.22905117699043942
AIDL,2015,3,11646,9596.0,0.21363067944977066
AIDL,2015,4,12588,11646.0,0.08088614116434822
AIDL,2016,1,14370,12588.0,0.14156339370829363
AIDL,2016,2,12081,14370.0,-0.15929018789144045
AIDL,2016,3,12492,12081.0,0.03402036255276886
AIDL,2016,4,8367,12492.0,-0.3302113352545629
AIDL,2017,1,11067,8367.0,0.32269630692004303
AIDL,2017,2,13076,11067.0,0.18153067678684387
AIDL,2017,3,12618,13076.0,-0.035026001835423703
AIDL,2017,4,10597,12618.0,-0.1601680139483278
AIDL,2018,1,14137,10597.0,0.3340568085307163
AIDL,2018,2,14577,14137.0,0.031124000848836486
AIDL,2018,3,11970,14577.0,-0.17884338341222472
AIDL,2018,4,12413,11970.0,0.03700918964076849
AIDL,2019,1,14787,12413.0,0.19125110770965925
AIDL,2019,2,15541,14787.0,0.050990735105159946
AIDL,2019,3,12786,15541.0,-0.17727301975419862
AIDL,2019,4,13111,12786.0,0.025418426403879257
AIDL,2020,1,14702,13111.0,0.12134848600411874
AIDL,2020,2,17588,14702.0,0.1962998231533124
AIDL,2020,3,16013,17588.0,-0.08954969297248128
AIDL,2020,4,18845,16013.0,0.17685630425279464
AIDL,2021,1,21222,18845.0,0.1261342531175378
AIDL,2021,2,18569,21222.0,-0.12501178022806525
AIDL,2021,3,13065,18569.0,-0.2964079918143142
AIDL,2021,4,10515,13065.0,-0.1951779563719862
AL,2011,2,20,15.0,0.33333333333333326
AL,2011,3,35,20.0,0.75
AL,2011,4,69,35.0,0.9714285714285715
AL,2012,1,30,69.0,-0.5652173913043479
AL,2012,3,37,30.0,0.2333333333333334
AL,2012,4,59,37.0,0.5945945945945945
AL,2013,1,403,59.0,5.830508474576271
AL,2013,2,285,403.0,-0.29280397022332505
AL,2013,3,1297,285.0,3.5508771929824565
AL,2013,4,1641,1297.0,0.2652274479568235
AL,2014,1,1535,1641.0,-0.06459475929311398
AL,2014,2,1404,1535.0,-0.08534201954397391
AL,2014,3,678,1404.0,-0.517094017094017
AL,2014,4,528,678.0,-0.22123893805309736
AL,2015,1,1056,528.0,1.0
AL,2015,2,1721,1056.0,0.6297348484848484
AL,2015,3,1110,1721.0,-0.3550261475886113
AL,2015,4,1202,1110.0,0.08288288288288292
AL,2016,1,3952,1202.0,2.2878535773710484
AL,2016,2,2359,3952.0,-0.4030870445344129
AL,2016,3,2015,2359.0,-0.145824501907588
AL,2016,4,3334,2015.0,0.6545905707196029
AL,2017,1,4529,3334.0,0.3584283143371325
AL,2017,2,2828,4529.0,-0.37557959814528596
AL,2017,3,2613,2828.0,-0.07602545968882601
AL,2017,4,2033,2613.0,-0.2219670876387294
AL,2018,1,1532,2033.0,-0.24643384161337922
AL,2018,2,1748,1532.0,0.14099216710182771
AL,2018,3,855,1748.0,-0.5108695652173914
AL,2018,4,1139,855.0,0.33216374269005855
AL,2019,1,1872,1139.0,0.6435469710272168
AL,2019,2,862,1872.0,-0.5395299145299146
AL,2019,3,642,862.0,-0.25522041763341063
AL,2019,4,721,642.0,0.1230529595015577
AL,2020,1,1248,721.0,0.7309292649098473
AL,2020,2,913,1248.0,-0.2684294871794872
AL,2020,3,862,913.0,-0.0558598028477546
AL,2020,4,1225,862.0,0.4211136890951277
AL,2021,1,617,1225.0,-0.49632653061224485
AL,2021,2,345,617.0,-0.44084278768233387
AL,2021,3,396,345.0,0.14782608695652177
AL,2021,4,553,396.0,0.3964646464646464
AMPL,2011,2,372298,377033.0,-0.012558582405253649
AMPL,2011,3,390295,372298.0,0.04834030803281242
AMPL,2011,4,432264,390295.0,0.10753148259649747
AMPL,2012,1,428554,432264.0,-0.008582717968648734
AMPL,2012,2,375701,428554.0,-0.12332868203306935
AMPL,2012,3,392686,375701.0,0.04520882297358808
AMPL,2012,4,450389,392686.0,0.14694437795083104
AMPL,2013,1,377235,450389.0,-0.16242403788724857
AMPL,2013,2,364456,377235.0,-0.03387543573634477
AMPL,2013,3,451795,364456.0,0.2396420967140067
AMPL,2013,4,465683,451795.0,0.030739605351984833
AMPL,2014,1,467892,465683.0,0.004743570196893643
AMPL,2014,2,479656,467892.0,0.025142554264659278
AMPL,2014,3,562680,479656.0,0.17309071501242568
AMPL,2014,4,458433,562680.0,-0.18526871401151634
AMPL,2015,1,436423,458433.0,-0.048011377889462636
AMPL,2015,2,423899,436423.0,-0.0286969293552356
AMPL,2015,3,444312,423899.0,0.04815533888968826
AMPL,2015,4,248388,444312.0,-0.4409604062010479
AMPL,2016,1,224029,248388.0,-0.0980683446865388
AMPL,2016,2,194955,224029.0,-0.1297778412616224
AMPL,2016,3,184417,194955.0,-0.05405349952553151
AMPL,2016,4,173584,184417.0,-0.05874187303773515
AMPL,2017,1,161804,173584.0,-0.06786339754816118
AMPL,2017,2,138183,161804.0,-0.14598526612444684
AMPL,2017,3,100225,138183.0,-0.2746937032775377
