language_name,year,count,lag_count,yoy_change
ASP.NET,2015,1210,891.0,0.3580246913580247
ASP.NET,2016,1561,1210.0,0.2900826446280991
ASP.NET,2017,1857,1561.0,0.1896220371556694
ASP.NET,2018,1715,1857.0,-0.07646742057081313
ASP.NET,2019,1736,1715.0,0.012244897959183598
ASP.NET,2020,1636,1736.0,-0.05760368663594473
ASP.NET,2021,1509,1636.0,-0.07762836185819066
ATS,2012,36,34.0,0.05882352941176472
ATS,2013,50,36.0,0.38888888888888884
ATS,2014,127,50.0,1.54
ATS,2015,131,127.0,0.03149606299212593
ATS,2016,85,131.0,-0.35114503816793896
ATS,2017,91,85.0,0.07058823529411762
ATS,2018,45,91.0,-0.5054945054945055
ATS,2019,32,45.0,-0.28888888888888886
ATS,2020,30,32.0,-0.0625
ATS,2021,31,30.0,0.03333333333333344
ActionScript,2012,21542,17050.0,0.2634604105571847
ActionScript,2013,23527,21542.0,0.09214557608392915
ActionScript,2014,25522,23527.0,0.08479619160964003
ActionScript,2015,20168,25522.0,-0.20977979782148737
ActionScript,2016,9173,20168.0,-0.5451705672352241
ActionScript,2017,5750,9173.0,-0.3731603619317563
ActionScript,2018,3072,5750.0,-0.46573913043478266
ActionScript,2019,2105,3072.0,-0.31477864583333337
ActionScript,2020,1584,2105.0,-0.2475059382422803
ActionScript,2021,1015,1584.0,-0.3592171717171717
Ada,2012,9355,8336.0,0.12224088291746638
Ada,2013,9464,9355.0,0.01165152324959906
Ada,2014,9243,9464.0,-0.02335164835164838
Ada,2015,7320,9243.0,-0.20804933463161313
Ada,2016,3858,7320.0,-0.47295081967213115
Ada,2017,3001,3858.0,-0.22213582166925872
Ada,2018,1963,3001.0,-0.3458847050983006
Ada,2019,1573,1963.0,-0.19867549668874174
Ada,2020,1290,1573.0,-0.1799109980928163
Ada,2021,978,1290.0,-0.24186046511627912
Agda,2012,163,137.0,0.1897810218978102
Agda,2013,222,163.0,0.361963190184049
Agda,2014,345,222.0,0.554054054054054
Agda,2015,473,345.0,0.3710144927536232
Agda,2016,360,473.0,-0.2389006342494715
Agda,2017,348,360.0,-0.033333333333333326
Agda,2018,215,348.0,-0.382183908045977
Agda,2019,140,215.0,-0.34883720930232553
Agda,2020,108,140.0,-0.22857142857142854
Agda,2021,77,108.0,-0.2870370370370371
Alloy,2012,115,90.0,0.2777777777777777
Alloy,2013,144,115.0,0.25217391304347836
Alloy,2014,162,144.0,0.125
Alloy,2015,191,162.0,0.17901234567901225
Alloy,2016,160,191.0,-0.16230366492146597
Alloy,2017,137,160.0,-0.14375000000000004
Alloy,2018,83,137.0,-0.3941605839416058
Alloy,2019,51,83.0,-0.3855421686746988
Alloy,2020,38,51.0,-0.2549019607843137
Alloy,2021,23,38.0,-0.39473684210526316
AngelScript,2012,1014,915.0,0.1081967213114754
AngelScript,2013,1179,1014.0,0.16272189349112431
AngelScript,2014,1400,1179.0,0.18744698897370649
AngelScript,2015,1710,1400.0,0.22142857142857153
AngelScript,2016,1882,1710.0,0.10058479532163744
AngelScript,2017,1987,1882.0,0.055791710945802375
AngelScript,2018,1438,1987.0,-0.276295923502768
AngelScript,2019,966,1438.0,-0.3282336578581363
AngelScript,2020,652,966.0,-0.3250517598343685
AngelScript,2021,360,652.0,-0.4478527607361963
ApacheConf,2012,59005,47476.0,0.24283848681439046
ApacheConf,2013,73821,59005.0,0.251097364630116
ApacheConf,2014,96329,73821.0,0.3048996897901681
ApacheConf,2015,130998,96329.0,0.3599020025122237
ApacheConf,2016,70448,130998.0,-0.4622207972640804
ApacheConf,2017,35808,70448.0,-0.4917101975925505
ApacheConf,2018,4840,35808.0,-0.8648346738159071
ApacheConf,2019,2966,4840.0,-0.38719008264462806
ApacheConf,2020,2389,2966.0,-0.19453809844908965
ApacheConf,2021,1275,2389.0,-0.4663038928421934
Apex,2012,923,734.0,0.25749318801089927
Apex,2013,1197,923.0,0.2968580715059588
Apex,2014,1676,1197.0,0.4001670843776106
Apex,2015,1625,1676.0,-0.030429594272076366
Apex,2016,1260,1625.0,-0.22461538461538466
Apex,2017,1328,1260.0,0.053968253968254
Apex,2018,797,1328.0,-0.3998493975903614
Apex,2019,535,797.0,-0.328732747804266
Apex,2020,436,535.0,-0.18504672897196262
Apex,2021,260,436.0,-0.4036697247706422
AppleScript,2012,14622,14471.0,0.01043466242830493
AppleScript,2013,16956,14622.0,0.15962248666393108
AppleScript,2014,16367,16956.0,-0.03473696626562872
AppleScript,2015,15455,16367.0,-0.05572187939145845
AppleScript,2016,7205,15455.0,-0.5338078291814947
AppleScript,2017,5595,7205.0,-0.22345593337959746
AppleScript,2018,3628,5595.0,-0.35156389633601426
AppleScript,2019,2697,3628.0,-0.25661521499448736
AppleScript,2020,2273,2697.0,-0.15721171672228407
AppleScript,2021,1619,2273.0,-0.2877254729432468
Arc,2012,3287,3174.0,0.03560176433522377
Arc,2013,3557,3287.0,0.08214177061149974
Arc,2014,3203,3557.0,-0.09952206915940398
Arc,2015,2313,3203.0,-0.27786450202934754
Arc,2016,1319,2313.0,-0.4297449200172936
Arc,2017,846,1319.0,-0.35860500379075055
Arc,2018,738,846.0,-0.12765957446808507
Arc,2019,589,738.0,-0.20189701897018975
Arc,2020,505,589.0,-0.14261460101867574
Arc,2021,352,505.0,-0.302970297029703
Arduino,2012,10420,7730.0,0.34799482535575677
Arduino,2013,13832,10420.0,0.3274472168905951
Arduino,2014,21080,13832.0,0.5240023134759977
Arduino,2015,25663,21080.0,0.21740986717267563
Arduino,2016,17449,25663.0,-0.3200716985543389
Arduino,2017,11995,17449.0,-0.31256805547595856
Arduino,2018,1326,11995.0,-0.8894539391413089
Arduino,2019,770,1326.0,-0.4193061840120663
Arduino,2020,730,770.0,-0.051948051948051965
Arduino,2021,482,730.0,-0.3397260273972603
AspectJ,2012,3925,3648.0,0.07593201754385959
AspectJ,2013,4097,3925.0,0.04382165605095545
AspectJ,2014,4295,4097.0,0.04832804491091047
AspectJ,2015,3431,4295.0,-0.20116414435389984
AspectJ,2016,1445,3431.0,-0.5788399883415913
AspectJ,2017,940,1445.0,-0.3494809688581315
AspectJ,2018,512,940.0,-0.4553191489361702
AspectJ,2019,386,512.0,-0.24609375
AspectJ,2020,287,386.0,-0.25647668393782386
AspectJ,2021,263,287.0,-0.08362369337979092
Assembly,2012,169118,166216.0,0.01745920970303705
Assembly,2013,180952,169118.0,0.0699748104873521
Assembly,2014,182166,180952.0,0.006708961492550403
Assembly,2015,145519,182166.0,-0.20117365479837068
Assembly,2016,77947,145519.0,-0.46435173413781017
Assembly,2017,53390,77947.0,-0.31504740400528564
Assembly,2018,31350,53390.0,-0.4128113879003559
Assembly,2019,22603,31350.0,-0.27901116427432215
Assembly,2020,17282,22603.0,-0.2354112285979737
Assembly,2021,11804,17282.0,-0.3169772017127648
Astro,2016,3,1.0,2.0
Astro,2017,6,3.0,1.0
Astro,2018,5,6.0,-0.16666666666666663
Astro,2019,7,5.0,0.3999999999999999
Astro,2020,8,7.0,0.1428571428571428
Astro,2021,13,8.0,0.625
Asymptote,2012,48,50.0,-0.040000000000000036
Asymptote,2013,70,48.0,0.45833333333333326
Asymptote,2014,91,70.0,0.30000000000000004
Asymptote,2015,97,91.0,0.06593406593406592
Asymptote,2016,125,97.0,0.2886597938144331
Asymptote,2017,152,125.0,0.21599999999999997
Asymptote,2018,105,152.0,-0.3092105263157895
Asymptote,2019,123,105.0,0.17142857142857149
Asymptote,2020,108,123.0,-0.12195121951219512
Asymptote,2021,104,108.0,-0.03703703703703709
Augeas,2012,1735,1560.0,0.11217948717948723
Augeas,2013,1527,1735.0,-0.11988472622478386
Augeas,2014,1530,1527.0,0.0019646365422396617
Augeas,2015,1451,1530.0,-0.051633986928104614
Augeas,2016,762,1451.0,-0.47484493452791177
Augeas,2017,498,762.0,-0.3464566929133859
Augeas,2018,347,498.0,-0.3032128514056225
Augeas,2019,265,347.0,-0.2363112391930836
Augeas,2020,219,265.0,-0.17358490566037732
Augeas,2021,147,219.0,-0.3287671232876712
AutoHotkey,2012,1815,1514.0,0.1988110964332892
AutoHotkey,2013,2135,1815.0,0.1763085399449036
AutoHotkey,2014,2698,2135.0,0.26370023419203736
AutoHotkey,2015,2785,2698.0,0.032246108228317194
AutoHotkey,2016,2086,2785.0,-0.25098743267504486
AutoHotkey,2017,2101,2086.0,0.007190795781399917
AutoHotkey,2018,1379,2101.0,-0.34364588291289866
AutoHotkey,2019,1045,1379.0,-0.24220449601160265
AutoHotkey,2020,974,1045.0,-0.06794258373205742
AutoHotkey,2021,698,974.0,-0.28336755646817247
AutoIt,2012,859,670.0,0.28208955223880605
AutoIt,2013,1255,859.0,0.4610011641443539
AutoIt,2014,1364,1255.0,0.08685258964143427
AutoIt,2015,1412,1364.0,0.035190615835777095
AutoIt,2016,1057,1412.0,-0.2514164305949008
AutoIt,2017,1002,1057.0,-0.05203405865657518
AutoIt,2018,668,1002.0,-0.33333333333333337
AutoIt,2019,536,668.0,-0.19760479041916168
AutoIt,2020,379,536.0,-0.292910447761194
AutoIt,2021,271,379.0,-0.2849604221635884
Awk,2012,98798,98891.0,-0.0009404293616204207
Awk,2013,101879,98798.0,0.031184841798417073
Awk,2014,93778,101879.0,-0.07951589630836575
Awk,2015,73826,93778.0,-0.21275778967348413
Awk,2016,35963,73826.0,-0.5128680952509956
Awk,2017,20780,35963.0,-0.42218391124210997
Awk,2018,12589,20780.0,-0.3941770933589991
Awk,2019,9279,12589.0,-0.2629279529748193
Awk,2020,7144,9279.0,-0.23008944929410502
Awk,2021,4860,7144.0,-0.31970884658454646
BASIC,2012,52,53.0,-0.018867924528301883
BASIC,2013,64,52.0,0.23076923076923084
BASIC,2014,101,64.0,0.578125
BASIC,2015,140,101.0,0.38613861386138604
BASIC,2016,242,140.0,0.7285714285714286
BASIC,2017,314,242.0,0.2975206611570247
BASIC,2018,329,314.0,0.047770700636942776
BASIC,2019,339,329.0,0.03039513677811545
BASIC,2020,317,339.0,-0.06489675516224191
BASIC,2021,314,317.0,-0.009463722397476393
Ballerina,2013,9,1.0,8.0
Ballerina,2014,56,9.0,5.222222222222222
Ballerina,2015,81,56.0,0.4464285714285714
Ballerina,2016,194,81.0,1.3950617283950617
Ballerina,2017,233,194.0,0.2010309278350515
Ballerina,2018,183,233.0,-0.2145922746781116
Ballerina,2019,143,183.0,-0.21857923497267762
Ballerina,2020,65,143.0,-0.5454545454545454
Ballerina,2021,39,65.0,-0.4
Batchfile,2012,236724,183254.0,0.2917808069673786
Batchfile,2013,296089,236724.0,0.25077727649076564
Batchfile,2014,368093,296089.0,0.24318363735228266
Batchfile,2015,404512,368093.0,0.09893967013770966
Batchfile,2016,269710,404512.0,-0.33324598528597416
Batchfile,2017,211558,269710.0,-0.21560935819954763
Batchfile,2018,128964,211558.0,-0.3904083041057299
Batchfile,2019,92568,128964.0,-0.28221829347724947
Batchfile,2020,72046,92568.0,-0.2216964825857748
Batchfile,2021,51330,72046.0,-0.28753851705854594
Beef,2013,36,27.0,0.33333333333333326
Beef,2014,39,36.0,0.08333333333333326
Beef,2015,49,39.0,0.2564102564102564
Beef,2016,57,49.0,0.16326530612244894
Beef,2017,56,57.0,-0.01754385964912286
Beef,2018,54,56.0,-0.0357142857142857
Beef,2019,54,54.0,0.0
Beef,2020,54,54.0,0.0
Beef,2021,53,54.0,-0.01851851851851849
Befunge,2014,1,1.0,0.0
Befunge,2015,2,1.0,1.0
Befunge,2016,9,2.0,3.5
Befunge,2017,21,9.0,1.3333333333333335
Befunge,2018,11,21.0,-0.47619047619047616
Befunge,2019,18,11.0,0.6363636363636365
Befunge,2020,4,18.0,-0.7777777777777778
Befunge,2021,4,4.0,0.0
Berry,2015,10,3.0,2.3333333333333335
Berry,2016,11,10.0,0.10000000000000009
Berry,2017,24,11.0,1.1818181818181817
Berry,2018,24,24.0,0.0
Berry,2019,25,24.0,0.04166666666666674
Berry,2020,32,25.0,0.28
Berry,2021,33,32.0,0.03125
Bicep,2012,39,5.0,6.8
Bicep,2013,43,39.0,0.10256410256410264
Bicep,2014,63,43.0,0.4651162790697674
Bicep,2015,134,63.0,1.126984126984127
Bicep,2016,167,134.0,0.24626865671641784
Bicep,2017,175,167.0,0.0479041916167664
Bicep,2018,168,175.0,-0.040000000000000036
Bicep,2019,165,168.0,-0.017857142857142905
Bicep,2020,172,165.0,0.042424242424242475
Bicep,2021,157,172.0,-0.08720930232558144
Bison,2012,18323,19134.0,-0.04238528274276154
Bison,2013,18415,18323.0,0.005021011843038714
Bison,2014,18236,18415.0,-0.009720336682052633
Bison,2015,6217,18236.0,-0.659080938802369
Bison,2016,318,6217.0,-0.948849927617822
Bison,2017,169,318.0,-0.46855345911949686
Bison,2018,97,169.0,-0.42603550295857984
Bison,2019,84,97.0,-0.134020618556701
Bison,2020,72,84.0,-0.1428571428571429
Bison,2021,31,72.0,-0.5694444444444444
BitBake,2012,2273,1356.0,0.6762536873156342
BitBake,2013,2896,2273.0,0.27408710954685445
BitBake,2014,3248,2896.0,0.12154696132596676
BitBake,2015,4097,3248.0,0.26139162561576357
BitBake,2016,3242,4097.0,-0.20868928484256777
BitBake,2017,2665,3242.0,-0.17797655768044418
BitBake,2018,1830,2665.0,-0.3133208255159474
BitBake,2019,1432,1830.0,-0.2174863387978142
BitBake,2020,1166,1432.0,-0.18575418994413406
BitBake,2021,871,1166.0,-0.25300171526586623
Blade,2012,112,49.0,1.2857142857142856
Blade,2013,300,112.0,1.6785714285714284
Blade,2014,493,300.0,0.6433333333333333
Blade,2015,916,493.0,0.8580121703853956
Blade,2016,1431,916.0,0.5622270742358078
Blade,2017,2009,1431.0,0.40391334730957373
Blade,2018,1856,2009.0,-0.07615729218516676
Blade,2019,1764,1856.0,-0.049568965517241326
Blade,2020,1801,1764.0,0.020975056689342297
Blade,2021,1571,1801.0,-0.12770682953914492
BlitzBasic,2012,1333,989.0,0.34782608695652173
BlitzBasic,2013,1560,1333.0,0.17029257314328583
BlitzBasic,2014,1545,1560.0,-0.009615384615384581
BlitzBasic,2015,1282,1545.0,-0.17022653721682846
BlitzBasic,2016,1024,1282.0,-0.20124804992199685
BlitzBasic,2017,936,1024.0,-0.0859375
BlitzBasic,2018,758,936.0,-0.19017094017094016
BlitzBasic,2019,645,758.0,-0.14907651715039583
BlitzBasic,2020,525,645.0,-0.18604651162790697
BlitzBasic,2021,426,525.0,-0.1885714285714286
BlitzMax,2012,155,138.0,0.12318840579710155
BlitzMax,2013,109,155.0,-0.2967741935483871
BlitzMax,2014,116,109.0,0.06422018348623859
BlitzMax,2015,113,116.0,-0.025862068965517238
BlitzMax,2016,67,113.0,-0.4070796460176991
BlitzMax,2017,51,67.0,-0.23880597014925375
BlitzMax,2018,36,51.0,-0.2941176470588235
BlitzMax,2019,26,36.0,-0.2777777777777778
BlitzMax,2020,30,26.0,0.15384615384615374
BlitzMax,2021,20,30.0,-0.33333333333333337
Bluespec,2012,34,24.0,0.41666666666666674
Bluespec,2013,75,34.0,1.2058823529411766
Bluespec,2014,117,75.0,0.56
Bluespec,2015,116,117.0,-0.008547008547008517
Bluespec,2016,119,116.0,0.02586206896551735
Bluespec,2017,78,119.0,-0.3445378151260504
Bluespec,2018,66,78.0,-0.15384615384615385
Bluespec,2019,46,66.0,-0.303030303030303
Bluespec,2020,49,46.0,0.0652173913043479
Bluespec,2021,27,49.0,-0.44897959183673475
Boo,2012,830,865.0,-0.040462427745664775
Boo,2013,795,830.0,-0.04216867469879515
Boo,2014,572,795.0,-0.2805031446540881
Boo,2015,396,572.0,-0.3076923076923077
Boo,2016,254,396.0,-0.35858585858585856
Boo,2017,139,254.0,-0.452755905511811
Boo,2018,78,139.0,-0.4388489208633094
Boo,2019,48,78.0,-0.3846153846153846
Boo,2020,41,48.0,-0.14583333333333337
Boo,2021,29,41.0,-0.29268292682926833
Boogie,2012,12,12.0,0.0
Boogie,2013,16,12.0,0.33333333333333326
Boogie,2014,29,16.0,0.8125
Boogie,2015,28,29.0,-0.03448275862068961
Boogie,2016,26,28.0,-0.0714285714285714
Boogie,2017,42,26.0,0.6153846153846154
Boogie,2018,36,42.0,-0.1428571428571429
Boogie,2019,32,36.0,-0.11111111111111116
Boogie,2020,26,32.0,-0.1875
Boogie,2021,22,26.0,-0.15384615384615385
Brainfuck,2012,2461,2851.0,-0.13679410733076114
Brainfuck,2013,2915,2461.0,0.18447785453067866
Brainfuck,2014,3149,2915.0,0.0802744425385935
