year,quarter,count,event
2011,1,1.0,commits
2011,1,0.3526963283593556,repos
2011,2,0.8596290452006622,commits
2011,2,0.3787606030234986,repos
2011,3,0.8538216094664913,commits
2011,3,0.0,prs
2011,3,0.393064208313399,repos
2011,4,0.9138666674415387,commits
2011,4,0.0063733591021978234,prs
2011,4,0.4194600184385226,repos
2012,1,0.9631614788943383,commits
2012,1,0.06348733964483783,prs
2012,1,0.46646079020243963,repos
2012,2,0.7133843227852528,commits
2012,2,0.05085441058390753,prs
2012,2,0.48694265375038853,repos
2012,3,0.6944827237600716,commits
2012,3,0.06027848579911489,prs
2012,3,0.49939476772001384,repos
2012,4,0.678080495448103,commits
2012,4,0.07112813474501896,prs
2012,4,0.5399507869547452,repos
2013,1,0.754222098252362,commits
2013,1,0.10201284241779172,prs
2013,1,0.5903828088714437,repos
2013,2,0.6622627951421493,commits
2013,2,0.12046827441973372,prs
2013,2,0.6326347007406837,repos
2013,3,0.628770140571563,commits
2013,3,0.14423328291598977,prs
2013,3,0.680607379948805,repos
2013,4,0.5565874001572698,commits
2013,4,0.18359148880548243,prs
2013,4,0.730935510568975,repos
2014,1,0.5699100421955604,commits
2014,1,0.23607687711239334,prs
2014,1,0.7957708821506022,repos
2014,2,0.5344459422011663,commits
2014,2,0.27403985304278006,prs
2014,2,0.8337741438134915,repos
2014,3,0.5429795122031785,commits
2014,3,0.3196809702537673,prs
2014,3,0.8754365180526406,repos
2014,4,0.4720794158226707,commits
2014,4,0.3601222153754225,prs
2014,4,0.9224499488400841,repos
2015,1,0.48878958713228005,commits
2015,1,0.4746518635744029,prs
2015,1,0.9988011031684225,repos
2015,2,0.4709999045553731,commits
2015,2,0.5527969954997852,prs
2015,2,1.0,repos
2015,3,0.36483618932979306,commits
2015,3,0.6311066840326406,prs
2015,3,0.9141923368382823,repos
2015,4,0.24650822928368094,commits
2015,4,0.736073375907979,prs
2015,4,0.6860810980698917,repos
2016,1,0.23541284101349536,commits
2016,1,0.86854786379848,prs
2016,1,0.6347177648878847,repos
2016,2,0.19701779616755452,commits
2016,2,0.8775704675741789,prs
2016,2,0.5838909123925728,repos
2016,3,0.16910782117710205,commits
2016,3,0.8443580424999533,prs
2016,3,0.5229080308845252,repos
2016,4,0.16740050658745018,commits
2016,4,0.8980011623998656,prs
2016,4,0.51844376076017,repos
2017,1,0.14711186986353317,commits
2017,1,0.9919151354732695,prs
2017,1,0.5221882126157209,repos
2017,2,0.1255815247199912,commits
2017,2,1.0000000000000002,prs
2017,2,0.4808121942191041,repos
2017,3,0.10198955606418825,commits
2017,3,0.9478087128638919,prs
2017,3,0.42045877174296425,repos
2017,4,0.08252717262698878,commits
2017,4,0.9275950927118929,prs
2017,4,0.34310318937549983,repos
2018,1,0.07217003140756947,commits
2018,1,0.7835287005396523,prs
2018,1,0.2663648435344692,repos
2018,2,0.06071713555716333,commits
2018,2,0.6312519840158348,prs
2018,2,0.22104772189958688,repos
2018,3,0.05227851954453736,commits
2018,3,0.6108481317573246,prs
2018,3,0.18516506493642554,repos
2018,4,0.045633308017071675,commits
2018,4,0.6015483492988255,prs
2018,4,0.1675794986677469,repos
2019,1,0.04340369823750744,commits
2019,1,0.6580863817153101,prs
2019,1,0.15007839864225425,repos
2019,2,0.03799835286053891,commits
2019,2,0.6747013472634587,prs
2019,2,0.12474463693920525,repos
2019,3,0.034219061083808275,commits
2019,3,0.659766959834183,prs
2019,3,0.10773920316248599,repos
2019,4,0.029642757200946175,commits
2019,4,0.7082376337460087,prs
2019,4,0.09883401662959172,repos
2020,1,0.02815778091451751,commits
2020,1,0.7228411573581311,prs
2020,1,0.08842109674287689,repos
2020,2,0.027147879014920447,commits
2020,2,0.7819910882676974,prs
2020,2,0.08107886309746225,repos
2020,3,0.0207081209286277,commits
2020,3,0.7250947659328142,prs
2020,3,0.061958499355699345,repos
2020,4,0.015692609484667976,commits
2020,4,0.7146244141317947,prs
2020,4,0.052763464835851745,repos
2021,1,0.014295513037267685,commits
2021,1,0.6892342632532258,prs
2021,1,0.043684980636059176,repos
2021,2,0.008871746328127938,commits
2021,2,0.675595904991317,prs
2021,2,0.031962070073369944,repos
2021,3,0.003360105895939946,commits
2021,3,0.6039589285380838,prs
2021,3,0.012382707599255471,repos
2021,4,0.0,commits
2021,4,0.4444440554217317,prs
2021,4,0.0,repos
2022,1,0.0019729286874684893,prs
